rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
98,frame_0292.jpg,116.8,0.4793,0.4386,0.3333,0.8,8,3,False,False
99,frame_0305.jpg,122.0,0.4768,0.5749,0.4444,0.28,6,4,False,False
100,frame_0094.jpg,37.6,0.476,0.8054,0.1111,0.2,3,1,False,False
101,frame_0277.jpg,110.8,0.4758,0.6396,0.3333,0.28,7,3,False,False
102,frame_0020.jpg,8.0,0.4716,0.4098,0.2222,1.0,3,2,False,False
103,frame_0302.jpg,120.8,0.4715,0.583,0.3333,0.4,7,3,False,False
104,frame_0005.jpg,2.0,0.4695,0.3391,0.3333,1.0,5,3,False,False
105,frame_0399.jpg,159.6,0.4659,0.5532,0.4444,0.28,7,4,False,False
106,frame_0085.jpg,34.0,0.4644,0.5049,0.3333,0.56,4,3,False,False
107,frame_0372.jpg,148.8,0.4643,0.5472,0.5556,0.12,10,5,False,False
108,frame_0293.jpg,117.2,0.4638,0.4902,0.2222,0.76,6,2,False,False
109,frame_0307.jpg,122.8,0.4637,0.514,0.5556,0.2,7,5,False,False
110,frame_0120.jpg,48.0,0.4612,0.4477,0.4444,0.52,5,4,False,False
111,frame_0275.jpg,110.0,0.4608,0.6416,0.3333,0.2,6,3,False,False
112,frame_0398.jpg,159.2,0.4592,0.6225,0.3333,0.24,7,3,False,False
113,frame_0376.jpg,150.4,0.4583,0.6527,0.3333,0.16,9,3,False,False
114,frame_0188.jpg,75.2,0.4568,0.631,0.4444,0.04,8,4,False,False
115,frame_0007.jpg,2.8,0.4536,0.3738,0.2222,1.0,6,2,False,False
116,frame_0319.jpg,127.6,0.4533,0.4612,0.5556,0.28,7,5,False,False
117,frame_0078.jpg,31.2,0.4518,0.3677,0.3333,0.84,6,3,False,False
118,frame_0127.jpg,50.8,0.4517,0.5167,0.1111,0.8,8,1,False,False
119,frame_0231.jpg,92.4,0.4509,0.5712,0.4444,0.16,7,4,False,False
120,frame_0017.jpg,6.8,0.4497,0.366,0.2222,1.0,5,2,False,False
121,frame_0287.jpg,114.8,0.447,0.422,0.3333,0.68,8,3,False,False
122,frame_0114.jpg,45.6,0.4463,0.514,0.4444,0.28,7,4,False,False
123,frame_0379.jpg,151.6,0.4445,0.6063,0.4444,0.04,10,4,False,False
124,frame_0125.jpg,50.0,0.4439,0.3999,0.3333,0.72,6,3,False,False
125,frame_0295.jpg,118.0,0.4438,0.4822,0.2222,0.68,5,2,False,False
126,frame_0105.jpg,42.0,0.4432,0.6544,0.3333,0.08,8,3,False,False
127,frame_0014.jpg,5.6,0.4427,0.4188,0.1111,1.0,5,1,False,False
128,frame_0225.jpg,90.0,0.4427,0.5867,0.4444,0.08,6,4,False,False
129,frame_0168.jpg,67.2,0.4422,0.527,0.2222,0.56,6,2,False,False
130,frame_0096.jpg,38.4,0.4411,0.5675,0.4444,0.12,6,4,False,False
131,frame_0209.jpg,83.6,0.44,0.5253,0.1111,0.72,3,1,False,False
132,frame_0010.jpg,4.0,0.4399,0.4131,0.1111,1.0,2,1,False,False
133,frame_0285.jpg,114.0,0.4384,0.5035,0.2222,0.6,5,2,False,False
134,frame_0080.jpg,32.0,0.4359,0.4344,0.2222,0.76,6,2,False,False
135,frame_0184.jpg,73.6,0.4353,0.572,0.4444,0.08,6,4,False,False
136,frame_0333.jpg,133.2,0.4337,0.6355,0.3333,0.08,9,3,False,False
137,frame_0025.jpg,10.0,0.4317,0.3968,0.1111,1.0,1,1,False,False
138,frame_0296.jpg,118.4,0.4312,0.473,0.2222,0.64,5,2,False,False
139,frame_0317.jpg,126.8,0.4285,0.577,0.3333,0.2,8,3,False,False
140,frame_0185.jpg,74.0,0.4281,0.6242,0.3333,0.08,8,3,False,False
141,frame_0089.jpg,35.6,0.4272,0.4945,0.3333,0.4,6,3,False,False
142,frame_0199.jpg,79.6,0.4266,0.5946,0.1111,0.48,1,1,False,False
143,frame_0370.jpg,148.0,0.4257,0.502,0.5556,0.04,9,5,False,False
144,frame_0115.jpg,46.0,0.4251,0.4555,0.4444,0.32,7,4,False,False
145,frame_0282.jpg,112.8,0.4249,0.4579,0.3333,0.48,6,3,False,False
146,frame_0095.jpg,38.0,0.4244,0.5848,0.3333,0.16,7,3,False,False
147,frame_0087.jpg,34.8,0.4239,0.5225,0.2222,0.48,3,2,False,False
148,frame_0193.jpg,77.2,0.4235,0.4843,0.4444,0.24,5,4,False,False
149,frame_0233.jpg,93.2,0.421,0.6126,0.2222,0.24,5,2,False,False
150,frame_0174.jpg,69.6,0.4203,0.5127,0.3333,0.32,6,3,False,False
151,frame_0097.jpg,38.8,0.4192,0.6064,0.3333,0.08,5,3,False,False
152,frame_0109.jpg,43.6,0.4176,0.5365,0.4444,0.08,6,4,False,False
153,frame_0300.jpg,120.0,0.4172,0.509,0.2222,0.48,7,2,False,False
154,frame_0113.jpg,45.2,0.4148,0.467,0.4444,0.24,5,4,False,False
155,frame_0229.jpg,91.6,0.4109,0.5232,0.4444,0.08,9,4,False,False
156,frame_0122.jpg,48.8,0.4106,0.4478,0.2222,0.6,5,2,False,False
157,frame_0219.jpg,87.6,0.4099,0.4919,0.3333,0.32,3,3,False,False
158,frame_0216.jpg,86.4,0.408,0.5066,0.2222,0.44,3,2,False,False
159,frame_0208.jpg,83.2,0.407,0.3766,0.2222,0.76,3,2,False,False
160,frame_0382.jpg,152.8,0.4061,0.5135,0.4444,0.08,7,4,False,False
161,frame_0272.jpg,108.8,0.4035,0.5084,0.4444,0.08,4,4,False,False
162,frame_0123.jpg,49.2,0.4014,0.4802,0.1111,0.64,7,1,False,False
